Event_id	psi_gfp-psi_wt_dPSI	psi_gfp-psi_wt_p-val
ENSG00000160323.19;AF:chr9:133414358:133414644-133423101:133422367:133422548-133423101:+	nan	1.0000000000
ENSG00000167525.16;AF:chr17:28704843-28710871:28711299:28704843-28711570:28711854:-	-0.4676401408	0.0309690310
ENSG00000181450.18;AL:chr1:227654476-227677179:227677443:227654476-227722254:227724584:+	-0.0186026933	1.0000000000
ENSG00000112062.12;MX:chr6:36076608-36095987:36096066-36102571:36076608-36100188:36100267-36102571:+	-0.382874337	0.046953047
ENSG00000228474.6;RI:chr2:27071326:27071463-27071601:27071649:-	0.2177294929	0.0094905095
ENSG00000005302.19;RI:chrX:11763780:11763938-11765470:11765729:+	-0.4232835457	0.0429570430
ENSG00000105887.11;A3:chr7:135927061-135928075:135927059-135928075:-	-0.4170722039	0.0019980020
ENSG00000189180.16;A3:chr10:38017386-38054375:38017386-38054378:+	0.0485324369	1.0000000000
ENSG00000155380.13;SE:chr1:112929352-112929881:112930034-112955276:-	0.6145935155	0.0179820180
ENSG00000213064.10;SE:chr1:168231919-168235101:168235182-168236589:+	0.3108433739	0.0319680320
ENSG00000134253.10;A5:chr1:117120901-117121601:117120901-117121606:-	0.7215256506	0.0179820180
ENSG00000109445.11;A5:chr4:141221077-141222366:141221016-141222366:+	0.6242104639	0.0489510490
ENSG00000160179.19_and_ENSG00000223262.1;A5:chr21:42288073-42288211:42288037-42288211:+	0.6259221792	0.0399600400
